name,url,rank,net cost,aid,in-state tuition,out-state tuition,housing,meals,books,median earnings,location,address,student-faculty ratio,acceptance rate,application deadline,graduation rate,employed 2 years post graduation,full-time undergraduates,part-time undergrads,undergrads over 25,pell-grant recipients,varsity athletes,public/private,coordinates,<$30k,$30-48k,$49-75k,$76-110k,$110k+,tuition,undergrads
Villanova University,https://www.niche.com/colleges/villanova-university/,59,34837,42834,66838,66838,8587,7500,1100,77900,"VILLANOVA, PA","800 E LANCASTER AVE VILLANOVA, PA 19085",8:1,23,January 15,91,95,7087,0,3,13,8,Private,"[40.0357379, -75.3399974]",22330,25076,27536,37122,56553,66838,7087
Haverford College,https://www.niche.com/colleges/haverford-college/,60,23476,57999,69884,69884,10900,7082,1209,60700,"HAVERFORD, PA","370  LANCASTER AVE HAVERFORD, PA 19041",8:1,14,January 10,91,92,1419,2,0,14,33,Private,"[40.009791, -75.3061431]",4985,7933,6344,20452,40384,69884,1421
Virginia Tech,https://www.niche.com/colleges/virginia-tech/,61,19301,7649,14586,34838,6168,5456,1100,62500,"BLACKSBURG, VA","210 BURRUSS HALL 800 DRILLFIELD DR BLACKSBURG, VA 24061",13:1,57,January 15,86,96,29569,865,2,16,2,Public College,"[37.2289094, -80.4234039]",10947,12988,16791,23281,26950,24712,30434
University of Washington,https://www.niche.com/colleges/university-of-washington/,62,10603,14731,12242,40740,-1,-1,900,57700,"SEATTLE, WA","1400 NE CAMPUS PARKWAY SEATTLE, WA 98195",6:1,48,November 15,84,91,29226,0,6,18,2,Public College,"[47.6563571, -122.3130176]",5963,6369,8907,16698,27240,26491,29226
University of California - Davis,https://www.niche.com/colleges/university-of-california-davis/,63,17385,20548,14858,44930,-1,-1,1221,58200,"DAVIS, CA","ONE SHIELDS AVE DAVIS, CA 95616",11:1,37,December 2,86,91,30673,859,4,27,2,Public College,"[38.5395242, -121.7516727]",9089,10258,13232,18376,31575,29894,31532
University of California - San Diego,https://www.niche.com/colleges/university-of-california-san-diego/,64,16111,20782,14906,44978,-1,-1,1175,59900,"LA JOLLA, CA","9500 GILMAN DR LA JOLLA, CA 92093",10:1,24,December 2,88,89,32138,958,4,29,2,Public College,"[32.8791166, -117.2358684]",9055,10263,13639,20297,30300,29942,33096
Wesleyan University,https://www.niche.com/colleges/wesleyan-university/,65,21270,59825,64322,64322,-1,-1,1200,54700,"MIDDLETOWN, CT","45 WYLLYS AVE MIDDLETOWN, CT 06459",7:1,14,January 1,93,90,3006,63,1,13,25,Private,"[41.5567966, -72.6570065]",5122,3847,6975,15364,44356,64322,3069
The Cooper Union for the Advancement of Science and Art,https://www.niche.com/colleges/the-cooper-union-for-the-advancement-of-science-and-art/,66,26194,39305,44550,44550,14225,-1,1800,64900,"NEW YORK, NY","41 COOPER SQ NEW YORK, NY 10003",9:1,22,January 5,83,93,898,1,2,22,-1,Private,"[40.7285062, -73.9902587]",4074,5004,7712,17998,30143,44550,899
Purdue University,https://www.niche.com/colleges/purdue-university/,67,12576,8950,9992,28794,4860,5398,1050,55100,"WEST LAFAYETTE, IN","HOVDE HALL OF ADMINISTRATION WEST LAFAYETTE, IN 47907",16:1,53,January 15,83,95,36484,0,3,13,1,Public College,"[40.4282471, -86.9144228]",5478,6643,10078,18106,21168,19393,36484
University of South Florida,https://www.niche.com/colleges/university-of-south-florida/,68,11004,11066,6410,17324,8170,4452,770,43500,"TAMPA, FL","4202 EAST FOWLER AVE TAMPA, FL 33620",13:1,44,March 1,74,91,30097,0,12,28,2,Public College,"[28.0561706, -82.4102857]",4820,6645,10184,15279,16504,11867,30097
Tulane University,https://www.niche.com/colleges/tulane-university/,69,50263,30747,68678,68678,9946,7400,1200,61700,"NEW ORLEANS, LA","6823 ST CHARLES AVE NEW ORLEANS, LA 70118",5:1,11,January 15,87,91,8231,469,5,8,5,Private,"[29.9354535, -90.1227417]",24758,25683,30585,31041,57579,68678,8700
Colgate University,https://www.niche.com/colleges/colgate-university/,70,27074,54647,66622,66622,7778,8328,1524,63600,"HAMILTON, NY","13 OAK DR HAMILTON, NY 13346",9:1,12,January 15,91,93,3112,18,0,13,19,Private,"[42.8181788, -75.5352206]",7139,10148,15208,20226,51325,66622,3130
Bates College,https://www.niche.com/colleges/bates-college/,71,27491,51414,66590,66590,-1,-1,900,59200,"LEWISTON, ME","23 CAMPUS AVE  LEWISTON, ME 04240",9:1,14,January 10,93,94,1712,0,0,9,38,Private,"[44.1049085, -70.2056294]",4512,5529,10800,20211,45686,66590,1712
University of Richmond,https://www.niche.com/colleges/university-of-richmond/,72,29248,46385,65230,65230,6850,8020,1000,64500,"RICHMOND, VA","142 UR DRIVE RICHMOND, VA 23173",6:1,24,January 1,88,95,2942,112,5,17,13,Private,"[37.5732274, -77.5402925]",10711,8199,17112,27456,48411,65230,3054
Babson College,https://www.niche.com/colleges/babson-college/,73,28400,30513,54944,54944,12292,6736,1254,96100,"WELLESLEY, MA","231 FOREST ST WELLESLEY, MA 02457",12:1,22,January 2,93,91,2737,24,0,17,16,Private,"[42.2990114, -71.2623332]",18765,15344,20854,28556,55303,54944,2761
William & Mary,https://www.niche.com/colleges/william-and-mary/,74,25688,15134,18709,43442,8582,5246,1080,58500,"WILLIAMSBURG, VA","200 RICHMOND RD WILLIAMSBURG, VA 23187",9:1,33,January 5,91,94,6887,76,2,12,8,Public College,"[37.2718889, -76.7096157]",2580,4577,8405,19584,35267,31075,6963
Vassar College,https://www.niche.com/colleges/vassar-college/,75,30603,50193,64800,64800,-1,-1,900,54600,"POUGHKEEPSIE, NY","124 RAYMOND AVE POUGHKEEPSIE, NY 12604",8:1,19,January 1,92,93,2436,23,1,19,18,Private,"[41.6864266, -73.8976844]",11594,12977,20408,24522,52898,64800,2459
University of California - Santa Barbara,https://www.niche.com/colleges/university-of-california-santa-barbara/,76,16874,20389,15666,48240,-1,-1,1343,55300,"SANTA BARBARA, CA","1210 CHEADLE HALL SANTA BARBARA, CA 93106",20:1,26,December 2,86,91,22793,666,2,26,2,Public College,"[34.4160176, -119.8478901]",8839,10859,13464,18987,31659,31953,23459
University of Central Florida,https://www.niche.com/colleges/university-of-central-florida/,77,13108,9986,6368,22467,5670,4600,1200,45400,"ORLANDO, FL","4000 CENTRAL FLORIDA BLVD ORLANDO, FL 32816",26:1,41,May 1,76,93,41098,0,14,26,1,Public College,"[28.601955, -81.2006612]",5851,7261,10566,14490,16337,14417,41098
Case Western Reserve University,https://www.niche.com/colleges/case-western-reserve-university/,78,38279,35452,61584,61584,9870,7350,1200,74600,"CLEVELAND, OH","10900 EUCLID AVE CLEVELAND, OH 44106",5:1,27,January 15,86,94,5907,110,1,18,9,Private,"[41.5045852, -81.6097966]",16010,17541,22653,32824,47824,61584,6017
Trinity University,https://www.niche.com/colleges/trinity-university/,79,30038,33614,53676,53676,8776,6079,1000,54900,"SAN ANTONIO, TX","ONE TRINITY PLACE SAN ANTONIO, TX 78212",8:1,31,February 1,76,93,2482,49,1,16,24,Private,"[29.4646778, -98.4819261]",10002,12064,16103,23783,34692,53676,2531
The Ohio State University,https://www.niche.com/colleges/the-ohio-state-university/,80,19582,10993,12485,36722,-1,-1,1012,46100,"COLUMBUS, OH","190 N OVAL MALL COLUMBUS, OH 43210",8:1,53,January 15,88,94,42360,0,6,18,2,Public College,"[40.0004899, -83.0120492]",6956,8402,13620,22528,26186,24603,42360
University of Maryland - College Park,https://www.niche.com/colleges/university-of-maryland-college-park/,81,16210,11232,11233,39469,8860,6036,1250,62900,"COLLEGE PARK, MD","COLLEGE PARK, MD 20742",14:1,45,January 20,89,93,28069,0,5,15,2,Public College,"[38.9966905, -76.9502499]",3907,10123,14312,21675,24937,25351,28069
Macalester College,https://www.niche.com/colleges/macalester-college/,82,36095,40262,68104,68104,7518,6482,853,47600,"SAINT PAUL, MN","1600 GRAND AVE SAINT PAUL, MN 55105",10:1,28,January 15,88,91,2110,32,0,15,19,Private,"[44.9394098, -93.1675429]",12933,14488,17913,25149,40691,68104,2142
Southern Methodist University,https://www.niche.com/colleges/southern-methodist-university/,83,45094,35344,79730,61980,10974,6776,800,60700,"DALLAS, TX","6425 BOAZ ST DALLAS, TX 75275",8:1,52,January 15,82,93,6880,176,2,11,7,Private,"[32.8449867, -96.786011]",28267,24799,29289,37937,51912,70855,7056
